"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"With a mocked verify_webhook, subscription.updated should update the user plan.","2","test_webhook_subscription_updated_changes_plan","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_payment_webhook","",""
"","4","test_create_website_unknown_theme_returns_400","tests","Sun May 10 06:00:51 UTC 2026","passed","Sun May 10 06:00:51 UTC 2026","","test_website_crud","",""
"customer.subscription.deleted should reset user plan to 'free'.","2","test_webhook_subscription_deleted_resets_to_free","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_payment_webhook","",""
"","3","test_login_unknown_email_returns_401","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_auth","",""
"","6","test_coupon_update_still_works_with_allowlisted_fields","tests","Sun May 10 06:00:51 UTC 2026","passed","Sun May 10 06:00:51 UTC 2026","","test_wave1_security","",""
"","2","test_create_website_unauthenticated_returns_401","tests","Sun May 10 06:00:51 UTC 2026","passed","Sun May 10 06:00:51 UTC 2026","","test_website_crud","",""
"","7","test_update_website_nothing_to_update","tests","Sun May 10 06:00:52 UTC 2026","passed","Sun May 10 06:00:52 UTC 2026","","test_website_crud","",""
"","10","test_create_website_returns_id","tests","Sun May 10 06:00:51 UTC 2026","passed","Sun May 10 06:00:51 UTC 2026","","test_website_crud","",""
"slowapi should attach X-RateLimit-* headers on auth endpoints.","272","test_register_rate_limit_header_present","tests","Sun May 10 06:00:48 UTC 2026","passed","Sun May 10 06:00:48 UTC 2026","","test_auth","",""
"","3","test_build_status_unknown_website_returns_404","tests","Sun May 10 06:00:53 UTC 2026","passed","Sun May 10 06:00:53 UTC 2026","","test_website_crud","",""
"","11","test_update_website_title","tests","Sun May 10 06:00:52 UTC 2026","passed","Sun May 10 06:00:52 UTC 2026","","test_website_crud","",""
"","6","test_delete_website","tests","Sun May 10 06:00:52 UTC 2026","passed","Sun May 10 06:00:52 UTC 2026","","test_website_crud","",""
"","4","test_me_returns_user_info","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_auth","",""
"","3","test_me_invalid_token_returns_401","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_auth","",""
"","271","test_login_wrong_password_returns_401","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_auth","",""
"Supplying an incorrect OTP must be rejected.","272","test_verify_otp_bad_code_returns_400","tests","Sun May 10 06:00:48 UTC 2026","passed","Sun May 10 06:00:49 UTC 2026","","test_auth","",""
"","2","test_me_missing_token_returns_401","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_auth","",""
"","3","test_finalize_image_requires_authentication","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_wave1_security","",""
"","2","test_webhook_invalid_signature_returns_400","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_payment_webhook","",""
"","5","test_finalize_image_forbidden_for_non_owner","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_wave1_security","",""
"","274","test_register_duplicate_email_returns_409","tests","Sun May 10 06:00:48 UTC 2026","passed","Sun May 10 06:00:48 UTC 2026","","test_auth","",""
"","1","test_startup_validation_requires_openai_key_unless_override","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_wave1_security","",""
"","0","test_auth_service_rejects_default_jwt_secret","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_wave1_security","",""
"","273","test_login_returns_token","tests","Sun May 10 06:00:49 UTC 2026","passed","Sun May 10 06:00:49 UTC 2026","","test_auth","",""
"","280","test_register_creates_user","tests","Sun May 10 06:00:48 UTC 2026","passed","Sun May 10 06:00:48 UTC 2026","","test_auth","",""
"","2","test_webhook_missing_signature_returns_400","tests","Sun May 10 06:00:50 UTC 2026","passed","Sun May 10 06:00:50 UTC 2026","","test_payment_webhook","",""
"A user cannot delete another user's website.","277","test_delete_website_other_user_returns_404","tests","Sun May 10 06:00:52 UTC 2026","passed","Sun May 10 06:00:53 UTC 2026","","test_website_crud","",""
